sheet,row,column,message,level
studyOrganizations,5,6,"Address '' does not contain the required fields (lines, district, city, state, postal code and country code) using ',' separator characters, only 0 found",Error
studyDesignTiming,14,9,"Could not decode the range value, possible typographical errors '0..? Days'",Error
studyDesignTiming,15,9,"Could not decode the range value, possible typographical errors '0..? Days'",Error
studyDesignTiming,16,9,"Could not decode the range value, possible typographical errors '0..? Days'",Error
studyDesignTiming,17,9,"Could not decode the range value, possible typographical errors '0..? Days'",Error
studyDesignTiming,20,9,Unable to set the units code for the range '-5..5 minutes',Error
studyDesignTiming,21,9,Unable to set the units code for the range '-10..10 minutes',Error
studyDesignTiming,22,9,Unable to set the units code for the range '-10..0 minutes',Error
studyDesignTiming,24,9,Unable to set the units code for the range '-30..30 minutes',Error
studyDesignTiming,30,9,Unable to set the units code for the range '-10..0 minutes',Error
studyDesignTiming,31,9,Unable to set the units code for the range '-45..60 minutes',Error
studyDesignTiming,34,9,Unable to set the units code for the range '0..30 minutes',Error
studyDesignTiming,35,9,Unable to set the units code for the range '-10..0 minutes',Error
studyDesignTiming,36,9,Unable to set the units code for the range '-45..60 minutes',Error
studyDesignTiming,39,9,Unable to set the units code for the range '0..30 minutes',Error
studyDesignTiming,42,9,Unable to set the units code for the range '0..30 minutes',Error
studyDesignTiming,43,9,Unable to set the units code for the range '-10..0 minutes',Error
studyDesignTiming,44,9,Unable to set the units code for the range '-45..60 minutes',Error
studyDesignTiming,47,9,Unable to set the units code for the range '0..30 minutes',Error
studyAmendments,1,-1,"No geographic scope column found, assuming global scope.",Warning
studyAmendments,2,-1,"No geographic scope column found, assuming global scope.",Warning
studyAmendments,3,-1,"No geographic scope column found, assuming global scope.",Warning
studyAmendments,4,-1,"No geographic scope column found, assuming global scope.",Warning
studyAmendments,5,-1,"No geographic scope column found, assuming global scope.",Warning
studyDesign,9,1,"Masking has been moved to the 'roles' sheet, value ignored",Warning
PKTimeline,,,"Default reference from C1D1_EOI_A to C1D1_EOI_A30 cannot be made, not found on the same timeline",Error
PKTimeline,,,"Default reference from C1D8_PRE to C1D8_SOI cannot be made, not found on the same timeline",Error
PKTimeline,,,"Conditonal reference from Cx_END to C5D1_SOI_A cannot be made, not found on the same timeline",Error
BMTimeline,18,3,"No activity 'If feasible, biomarker analyses listed below for …' found, so one has been created",Warning
BMTimeline,,,Unable to find activity '' when adding to schedule instance,Warning
BMTimeline,,,Unable to find activity '' when adding to schedule instance,Warning
BMTimeline,,,Unable to find activity '' when adding to schedule instance,Warning
eventTimeline,12,3,"No activity 'Prior/Concomitant Medication' found, so one has been created",Warning
mainTimeline,,,Failed to find epoch with name 'Long-term Follow-up',Warning
mainTimeline,,,"Default reference from C1D15 to C2D1 cannot be made, not found on the same timeline",Error
mainTimeline,,,"Default reference from CxD1 to C2_END cannot be made, not found on the same timeline",Error
mainTimeline,,,"Conditonal reference from Cx_END to C2D1 cannot be made, not found on the same timeline",Error
mainTimeline,,,Child activity with name 'Informed consent' does not have a parent specified,Error
mainTimeline,,,Child activity with name 'Eligibility criteria' does not have a parent specified,Error
mainTimeline,,,Child activity with name 'Demography' does not have a parent specified,Error
mainTimeline,,,Child activity with name 'Medical/Surgical and Disease history' does not have a parent specified,Error
mainTimeline,,,Child activity with name 'Physical examination' does not have a parent specified,Error
mainTimeline,,,Child activity with name 'Height/Weight/ECOG or Kamofsky PS (GBM)' does not have a parent specified,Error
mainTimeline,,,Child activity with name 'Vital signs' does not have a parent specified,Error
mainTimeline,,,Child activity with name 'Resting O2 saturation for SCCHN' does not have a parent specified,Error
mainTimeline,,,Child activity with name '12-lead ECG' does not have a parent specified,Error
,,,Unable to find timing 'from' reference with name C1D1_E,Error
,,,Unable to find timing 'to' reference with name C1D1_E,Error
,,,Unable to find timing 'to' reference with name C1D1_E,Error
PKTimeline,,,Unable to find timing reference for instance with name 'C1D15_PRE',Warning
mainTimeline,,,Duplicate use of timing with name 'TIM14' across timelines detected,Warning
mainTimeline,,,Duplicate use of timing with name 'TIM16' across timelines detected,Warning
mainTimeline,,,Duplicate use of timing with name 'TIM17' across timelines detected,Warning
mainTimeline,,,Unable to find timing reference for instance with name 'EXIT',Warning
,,,Timing with name 'TIM13' not referenced,Error
,,,Timing with name 'TIM57' not referenced,Error
studyDesignPopulations,1,8,CDISC CT not found for value 'MALE; FEMALE'.,Error
dictionaries,5,7,"Failed to translate reference path 'label', could not find start instance 'EligibilityCriterion', 'IN02'",Error
dictionaries,12,7,"Failed to translate reference path 'SectionNumber', could not find start instance 'NarrativeContent', 'NC_117'",Error
dictionaries,13,7,"Failed to translate reference path 'SectionNumber', could not find start instance 'NarrativeContent', 'NC_118'",Error
dictionaries,14,7,"Failed to translate reference path 'SectionNumber', could not find start instance 'NarrativeContent', 'NC_119'",Error
dictionaries,15,7,"Failed to translate reference path 'SectionNumber', could not find start instance 'NarrativeContent', 'NC_120'",Error
studyDesignEligibilityCriteria,3,6,"Failed to find 'Appendix 11: Section <usdm:tag name=""Sect10_11""/>' in dictionary 'Ref_dict'",Warning
studyDesignEligibilityCriteria,39,6,Failed to find 'MDRD' in dictionary 'Ref_dict',Warning
studyDesignConditions,1,6,Could not resolve condition reference 'treatment phase',Error
studyDesignConditions,1,6,"No condition references found for 'treatment phase', at least one required",Error
studyDesignConditions,12,6,Could not resolve condition reference 'Isatuximab Administration',Error
